3 TDA-3 mobile smoke generator: 2 destroyed, 0 damaged, 0 abandoned, 1 captured
2 MZA-M.1 battery charge and repair workshop: 1 destroyed, 0 damaged, 0 abandoned, 1 captured
4 MTU-72 bridge layer: 3 destroyed, 0 damaged, 0 abandoned, 1 captured
26 TMM-3 bridge layer: 11 destroyed, 0 damaged, 1 abandoned, 14 captured
6 Coastal link pontoon (for floating unified railway bridge-ribbon MLZh-VF-VT): 2 destroyed, 0 damaged, 0 abandoned, 4 captured
2 Transitional link pontoon (for floating unified railway bridge-ribbon MLZh-VF-VT): 1 destroyed, 0 damaged, 0 abandoned, 1 captured
3 River link pontoon (for floating unified railway bridge-ribbon MLZh-VF-VT): 3 destroyed, 0 damaged, 0 abandoned, 0 captured
26 River link pontoon (for PP/91-2005 floating bridge system): 16 destroyed, 1 damaged, 0 abandoned, 9 captured
2 KamAZ-53501 (for PMP-M floating bridge system): 2 destroyed, 0 damaged, 0 abandoned, 0 captured
17 KamAZ-63501 (for PP-2005 floating bridge system): 12 destroyed, 0 damaged, 0 abandoned, 5 captured
23 River link pontoon (for PMP (-M) floating bridge system): 16 destroyed, 1 damaged, 1 abandoned, 5 captured
11 River link pontoon (for unknown floating bridge system): 2 destroyed, 0 damaged, 0 abandoned, 9 captured
3 Coastal link pontoon (for PP-2005 floating bridge system): 2 destroyed, 0 damaged, 0 abandoned, 1 captured
2 Coastal link pontoon (for unknown floating bridge system): 0 destroyed, 0 damaged, 0 abandoned, 2 captured
9 River link pontoon (for PP-2005 floating bridge system): 8 destroyed, 0 damaged, 0 abandoned, 1 captured
4 Ural-4320 (for PMP floating bridge system): 2 destroyed, 0 damaged, 1 abandoned, 1 captured
5 KrAZ-255 (for PMP floating bridge system): 5 destroyed, 0 damaged, 0 abandoned, 0 captured
2 Coastal link pontoon (for PMP (-M) floating bridge system): 1 destroyed, 0 damaged, 0 abandoned, 1 captured
1 Uran-6 mine-clearing robotic system: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
2 Kuryer armed UGV: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
4 9P148 Konkurs: 4 destroyed, 0 damaged, 0 abandoned, 0 captured
37 9P149 Shturm-S: 12 destroyed, 1 damaged, 4 abandoned, 20 captured
1 9K132 Shturm-SM: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
2 9P163M-1 Kornet-T: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
2 1V110 BM-21 Grad battery command vehicle: 1 destroyed, 0 damaged, 0 abandoned, 1 captured
1 1V12(M) 'Mashina-S'/'Faltset' fire control system: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
24 1V13(M) battery fire control center: 10 destroyed, 0 damaged, 0 abandoned, 14 captured
20 1V14 battery command and for ward observer vehicle: 7 destroyed, 0 damaged, 1 abandoned, 12 captured
2 1V15M fire control and observation vehicle: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
1 1V16battalion fire direction vehicle: 0 destroyed, 0 damaged, 0 abandoned, 1 captured
5 1V18 'Klyon-1' artillery command and for ward observer vehicle: 5 destroyed, 0 damaged, 0 abandoned, 0 captured
12 1V119 artillery fire direction vehicle: 4 destroyed, 0 damaged, 0 abandoned, 8 captured
1 1V1003 command and observation vehicle (for 1V198 artillery fire control system): 0 destroyed, 0 damaged, 0 abandoned, 1 captured
1 Unknown artillery command vehicle based on MT-LBu: 0 destroyed, 0 damaged, 0 abandoned, 1 captured
44 9T452 transporter-loader (for BM-27 Uragan MRL): 32 destroyed, 0 damaged, 0 abandoned, 12 captured
1 TZM 9T234-2 transporter-loader (for BM-30 Smerch): 1 destroyed, 0 damaged, 0 abandoned, 0 captured
8 TZM-T reloader vehicle (for TOS-1A): 4 destroyed, 0 damaged, 0 abandoned, 4 captured
4 PRP-4(M) artillery reconnaissance vehicle: 4 destroyed, 0 damaged, 0 abandoned, 0 captured
1 PRP-4A Argus artillery reconnaissance vehicle: 0 destroyed, 0 damaged, 0 abandoned, 1 captured
19 82mm 2B9 Vasilek automatic gun mortar: 12 destroyed, 1 damaged, 0 abandoned, 6 captured
33 100mm MT-12 anti-tank gun: 22 destroyed, 4 damaged, 0 abandoned, 7 captured
14 120mm 2B16 Nona-K gun mortar: 3 destroyed, 1 damaged, 2 abandoned, 8 captured
109 122mm D-30 howitzer: 63 destroyed, 16 damaged, 2 abandoned, 28 captured
1 130mm M-46 field gun: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
36 152mm D-20 gun-howitzer: 25 destroyed, 9 damaged, 0 abandoned, 2 captured
120 152mm 2A65 Msta-B howitzer: 70 destroyed, 14 damaged, 1 abandoned, 35 captured
49 152mm 2A36 Giatsint-B field-gun: 36 destroyed, 4 damaged, 0 abandoned, 9 captured
14 Unknown towed artillery: 12 destroyed, 2 damaged, 0 abandoned, 0 captured
62 120mm 2S9 Nona: 55 destroyed, 2 damaged, 0 abandoned, 5 captured
6 120mm 2S23 Nona-SVK: 3 destroyed, 0 damaged, 0 abandoned, 3 captured
4 120mm 2S34 Khosta: 2 destroyed, 0 damaged, 0 abandoned, 2 captured
136 122mm 2S1 Gvozdika: 122 destroyed, 5 damaged, 1 abandoned, 8 captured
170 152mm 2S3(M) Akatsiya: 130 destroyed, 7 damaged, 2 abandoned, 31 captured
74 152mm 2S5 Giatsint-S: 60 destroyed, 8 damaged, 0 abandoned, 6 captured
213 152mm 2S19 Msta-S: 163 destroyed, 13 damaged, 2 abandoned, 35 captured
49 152mm 2S33 Msta-SM2: 28 destroyed, 3 damaged, 0 abandoned, 18 captured
26 203mm 2S7(M) Pion/Malka: 22 destroyed, 3 damaged, 0 abandoned, 1 captured
52 240mm 2S4 Tyulpan: 49 destroyed, 3 damaged, 0 abandoned, 0 captured
22 Unknown SPG: 19 destroyed, 3 damaged, 0 abandoned, 0 captured
236 122mm BM-21 Grad: 180 destroyed, 18 damaged, 2 abandoned, 36 captured
