2 1V16M artillery battalion command staff vehicle: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
8 1V18 'Klyon-1' artillery command forward observer vehicle: 0 destroyed, 0 damaged, 0 abandoned, 8 captured
3 9T452 transporter-loader (for BM-27 'Uragan' MRL): 3 destroyed, 0 damaged, 0 abandoned, 0 captured
3 100mm BS-3 anti-tank gun: 1 destroyed, 0 damaged, 0 abandoned, 2 captured
26 100mm MT-12 anti-tank gun: 9 destroyed, 6 damaged, 0 abandoned, 11 captured
6 105mm L119 howitzer: 2 destroyed, 3 damaged, 1 abandoned, 0 captured
56 pack howitzer: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
2 120mm 2B16 Nona-K gun mortar: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
16 122mm D-30 howitzer: 11 destroyed, 3 damaged, 0 abandoned, 2 captured
1 130mm M-46 field gun: 0 destroyed, 1 damaged, 0 abandoned, 0 captured
13 152mm D-20 gun-howitzer: 9 destroyed, 3 damaged, 0 abandoned, 1 captured
17 152mm 2A36 Giatsint-B field-gun: 13 destroyed, 3 damaged, 0 abandoned, 1 captured
8 152mm 2A65 Msta-B howitzer: 3 destroyed, 2 damaged, 2 abandoned, 1 captured
6 155mm FH-70 howitzer: 3 destroyed, 3 damaged, 0 abandoned, 0 captured
1 155mm TRF1 howitzer: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
98 155mm M777A2 howitzer: 55 destroyed, 43 damaged, 0 abandoned, 0 captured
33 Unknown towed artillery: 25 destroyed, 8 damaged, 0 abandoned, 0 captured
2 120mm Bars-8MMK: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
3 120mm BTR-3M2: 1 destroyed, 0 damaged, 0 abandoned, 2 captured
6 120mm 2S9 Nona-SV: 6 destroyed, 0 damaged, 0 abandoned, 0 captured
2 120mm BRM-1K with 2S9 Nona turret: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
4 120mm Ã1064¿3: 3 destroyed, 0 damaged, 0 abandoned, 1 captured
2 120mm Alakran: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
2 120mm M120K 'Rak': 2 destroyed, 0 damaged, 0 abandoned, 0 captured
170 122mm 2S1 Gvozdika: 141 destroyed, 16 damaged, 0 abandoned, 13 captured
54 152mm 2S3 Akatsiya: 42 destroyed, 8 damaged, 0 abandoned, 4 captured
4 152mm 2S5 Giatsint-S: 2 destroyed, 0 damaged, 0 abandoned, 2 captured
5 152mm 2S19 Msta-S: 2 destroyed, 3 damaged, 0 abandoned, 0 captured
77 155mm M109A3/A4/A5/A6/L: 61 destroyed, 16 damaged, 0 abandoned, 0 captured
36 155mm AHS Krab: 30 destroyed, 6 damaged, 0 abandoned, 0 captured
4 155mm ShKH Zuzana 2: 3 destroyed, 1 damaged, 0 abandoned, 0 captured
9 155mm Caesar 6x6: 6 destroyed, 3 damaged, 0 abandoned, 0 captured
1 155mm Caesar 8x8: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
2 155mm Panzerhaubitze 2000: 1 destroyed, 1 damaged, 0 abandoned, 0 captured
5 152mm ShKH vz. 77 DANA: 1 destroyed, 4 damaged, 0 abandoned, 0 captured
14 155mm AS-90: 9 destroyed, 5 damaged, 0 abandoned, 0 captured
1 155mm 2S22 'Bohdana' 2.0: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
8 155mm 2S22 'Bohdana' 3.0: 7 destroyed, 1 damaged, 0 abandoned, 0 captured
8 155mm 2S22 'Bohdana' 4.0: 8 destroyed, 0 damaged, 0 abandoned, 0 captured
1 155mm Archer Artillery Systems: 0 destroyed, 1 damaged, 0 abandoned, 0 captured
13 203mm 2S7 Pion: 5 destroyed, 6 damaged, 0 abandoned, 2 captured
35 Unknown SPG: 33 destroyed, 2 damaged, 0 abandoned, 0 captured
1 180mm B-8 makeshift MRL: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
53 122mm BM-21 Grad: 37 destroyed, 12 damaged, 0 abandoned, 4 captured
1 122mm 9P138 Grad-1: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
1 122mm Bastion-1: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
9 220mm BM-27 Uragan: 5 destroyed, 0 damaged, 0 abandoned, 4 captured
1 220mmBureviy: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
5 122mm RM-70: 3 destroyed, 2 damaged, 0 abandoned, 0 captured
5 227mm M142 HIMARS: 2 destroyed, 3 damaged, 0 abandoned, 0 captured
3 HMMWV with MRLS: 3 destroyed, 0 damaged, 0 abandoned, 0 captured
1 122mm APR-40: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
1 Unknown MRLS: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
3 23mm ZU-23: 0 destroyed, 0 damaged, 0 abandoned, 3 captured
1 23mm 23 ItK 61: 0 destroyed, 0 damaged, 0 abandoned, 1 captured
1 BTR-ZD Skrezhet: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
